Ano;Categoria;Indicador;Valor;Unidade;Fonte;Decada
2005;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;17,0;%;DataSenado;1998-2009
2007;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;15,0;%;DataSenado;1998-2009
2009;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;19,0;%;DataSenado;1998-2009
2011;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;19,0;%;DataSenado;2010-2019
2013;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;19,0;%;DataSenado;2010-2019
2015;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;18,0;%;DataSenado;2010-2019
2017;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;29,0;%;DataSenado;2010-2019
2019;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;27,0;%;PNS/DataSenado;2010-2019
2021;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;27,0;%;DataSenado;2020-2025
2023;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;30,0;%;DataSenado;2020-2025
2025;Violência doméstica;Mulheres que declararam ter sofrido violência doméstica;27,0;%;DataSenado;2020-2025
2025;Machismo;Mulheres que consideram o Brasil um país machista;94,0;%;DataSenado;2020-2025
2025;Machismo;Mulheres que consideram o Brasil muito machista;70,0;%;DataSenado;2020-2025
2025;Machismo;Mulheres que dizem que mulheres não são tratadas com respeito;46,0;%;DataSenado;2020-2025
2025;Machismo;Mulheres que conhecem vítima de violência doméstica;67,0;%;DataSenado;2020-2025
2010;Conservadorismo;Índice de conservadorismo brasileiro;0,657;;Ibope ;2010-2019
2016;Conservadorismo;Índice de conservadorismo brasileiro;0,686;;Ibope ;2010-2019
2018;Conservadorismo;Índice de conservadorismo brasileiro;0,693;;Ibope ;2010-2019
2021;Conservadorismo;Índice de conservadorismo brasileiro;0,639;;Ipsos/Ipec;2020-2025
2022;Conservadorismo;Índice de conservadorismo brasileiro;0,637;;Ipsos/Ipec;2020-2025
2023;Conservadorismo;Índice de conservadorismo brasileiro;0,665;;Ipsos/Ipec;2020-2025
2024;Conservadorismo;Índice de conservadorismo brasileiro;0,652;;Ipsos/Ipec;2020-2025
2025;Conservadorismo;Índice de conservadorismo brasileiro;0,652;;Ipsos/Ipec;2020-2025
2010;Conservadorismo;População com alto grau de conservadorismo;54,0;%;Ibope ;2010-2019
2016;Conservadorismo;População com alto grau de conservadorismo;49,0;%;Ibope ;2010-2019
2018;Conservadorismo;População com alto grau de conservadorismo;55,0;%;Ibope ;2010-2019
2024;Conservadorismo;População com alto grau de conservadorismo;49,0;%;Ipsos/Ipec;2020-2025
2025;Conservadorismo;População com alto grau de conservadorismo;49,0;%;Ipsos/Ipec;2020-2025
2024;Misoginia Digital;Vídeos sobre machosfera e misoginia analisados;76300,0;vídeos;NetLab-UFRJ / Ministério das Mulheres;2020-2025
2024;Misoginia Digital;Canais com conteúdo explicitamente misógino;137,0;canais;NetLab-UFRJ / Ministério das Mulheres;2020-2025
2024;Misoginia Digital;Canais misóginos monetizados;80,0;%;NetLab-UFRJ / Ministério das Mulheres;2020-2025
2024;Misoginia Digital;Visualizações em conteúdos misóginos;3900000000,0;visualizações;NetLab-UFRJ / Ministério das Mulheres;2020-2025
